time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,train/loss,env/wind_speed,env/energy,train/learning_rate,env/voltage,env/concentration,train/n_updates,env/aqi
43,1606,440,1.643619335253088,0.01,70400,1.699,0.3027898669242859,2.3006999999999995,192.47075999999998,0.0001,2.3006999999999995,12.825908438459475,17349,52.225403113858
44,1585,444,1.6693371124837868,0.01,71040,1.699,0.2942427098751068,2.3208999999999995,195.88139999999996,0.0001,2.3208999999999995,12.714589554384649,17509,51.999428621911115
45,1586,448,1.4628346280583786,0.01,71680,1.699,0.6747366786003113,,,0.0001,,,17669,
45,1583,452,1.3312794641855599,0.01,72320,1.699,0.020293869078159332,2.3089999999999997,194.48928,0.0001,2.3089999999999997,12.837852704140872,17829,52.187838025651935
45,1586,456,1.50473868427586,0.01,72960,1.699,0.287405401468277,,,0.0001,,,17989,
46,1591,460,1.6139967043210188,0.01,73600,1.699,0.030601315200328827,2.2654999999999994,187.10819999999998,0.0001,2.2654999999999994,13.070152256539114,18149,52.87329839471272
46,1597,464,1.5149886155826815,0.01,74240,1.699,0.0328807532787323,2.3463,200.31516,0.0001,2.3463,12.603174264956381,18309,51.519243502233955
46,1603,468,1.615710243440804,0.01,74880,1.699,0.027050744742155075,,,0.0001,,,18469,
46,1608,472,1.553434499112225,0.01,75520,1.699,0.023191092535853386,2.2706999999999993,193.92444,0.0001,2.2706999999999993,728427.887580867,18629,63.99283190454955
47,1612,476,1.6189168961913105,0.01,76160,1.699,0.5736762285232544,2.3069999999999995,194.2884,0.0001,2.3069999999999995,12.861642389200473,18789,52.17876252825497
47,1617,480,1.6413436549482885,0.01,76800,1.699,0.013618554919958115,,,0.0001,,,18949,
47,1621,484,1.6020166882593716,0.01,77440,1.699,0.29405778646469116,2.331,197.62415999999996,0.0001,2.331,12.66655947749827,19109,51.802425510403744
48,1625,488,1.412192535468929,0.01,78080,1.699,0.042888253927230835,2.3187999999999995,195.7176,0.0001,2.3187999999999995,12.735523571921417,19269,51.75850845910866
48,1629,492,1.5580673909101324,0.01,78720,1.699,0.04074025899171829,,,0.0001,,,19429,
48,1633,496,1.7096770765834761,0.01,79360,1.699,0.03153800219297409,2.3844,206.47656,0.0001,2.3844,12.364390131683868,19589,50.79529877840841
48,1637,500,1.603409257306588,0.01,80000,1.699,0.04019613564014435,2.3364,198.44783999999999,0.0001,2.3364,12.632639805887615,19749,51.64155490805248
49,1642,504,1.673691755142393,0.01,80640,1.699,0.021086540073156357,,,0.0001,,,19909,
49,1646,508,1.6717544541877456,0.01,81280,1.699,0.035291340202093124,2.3141,194.38955999999996,0.0001,2.3141,12.721965739571587,20069,51.92048418903362
49,1651,512,1.5860240998404702,0.01,81920,1.699,0.034616049379110336,,,0.0001,,,20229,
49,1655,516,1.6725057790067177,0.01,82560,1.699,0.028259072452783585,2.3274999999999997,196.69644,0.0001,2.3274999999999997,12.654882021485582,20389,51.76923132207138
50,1658,520,1.5697478839988037,0.01,83200,1.699,0.02428351901471615,2.3987,208.47636,0.0001,2.3987,12.249140473690913,20549,50.51712162826166
50,1655,524,1.4586929697432494,0.01,83840,1.699,0.032386600971221924,,,0.0001,,,20709,
51,1630,528,1.6152269156691847,0.01,84480,1.699,0.01833423413336277,2.3133000000000004,194.44068,0.0001,2.3133000000000004,12.73447120684234,20869,51.90066740501109
52,1626,532,1.573871520893565,0.01,85120,1.699,0.03311505168676376,2.3335999999999997,197.62920000000003,0.0001,2.3335999999999997,12.61515437167164,21029,51.6624522656076
52,1628,536,1.4550715975650153,0.01,85760,1.699,0.29593753814697266,,,0.0001,,,21189,
52,1630,540,1.5322216918761509,0.01,86400,1.699,0.027680814266204834,2.2592,185.58504000000002,0.0001,2.2592,13.062236403346015,21349,52.787819192523045
53,1625,544,1.6653136528900316,0.01,87040,1.699,0.29403942823410034,2.3215999999999997,195.786,0.0001,2.3215999999999997,12.693824312555407,21509,51.78456129027393
54,1596,548,1.614350547710349,0.01,87680,1.699,0.2705390453338623,,,0.0001,,,21669,
55,1590,552,1.5217155705052157,0.01,88320,1.699,0.3037610948085785,2.3504999999999994,200.68956,0.0001,2.3504999999999994,12.539620867611696,21829,51.3111460435428
57,1559,556,1.4420076923680647,0.01,88960,1.699,0.03906889259815216,,,0.0001,,,21989,
58,1524,560,1.7303379988236083,0.01,89600,1.699,0.028612583875656128,2.2874,198.20376000000002,0.0001,2.2874,1048929.6236371112,22149,67.74778081480787
60,1498,564,1.7255901220255077,0.01,90240,1.699,0.29111844301223755,2.3324999999999996,197.2674,0.0001,2.3324999999999996,12.605613746694853,22309,51.7383071602869
60,1493,568,1.538749562682267,0.01,90880,1.699,0.01507805846631527,,,0.0001,,,22469,
61,1482,572,1.5215391393254343,0.01,91520,1.699,0.25799256563186646,2.3375,198.19116,0.0001,2.3375,12.582965241068543,22629,51.44627390979979
62,1478,576,1.6836442089310482,0.01,92160,1.699,0.04806187376379967,2.3373999999999997,197.67095999999995,0.0001,2.3373999999999997,12.536728247548572,22789,51.54901509024152
63,1472,580,1.6262266861428096,0.01,92800,1.699,0.26890942454338074,,,0.0001,,,22949,
63,1471,584,1.5502579557425948,0.01,93440,1.699,0.03964758664369583,2.1896,179.11727999999997,0.0001,2.1896,670154.8927714158,23109,64.18042378614037
63,1470,588,1.7307949738383193,0.01,94080,1.699,0.034754473716020584,2.3099,193.77612,0.0001,2.3099,12.761542948896347,23269,52.09189856859401
64,1471,592,1.5593162667377678,0.01,94720,1.699,0.27314293384552,,,0.0001,,,23429,
64,1471,596,1.6526162002251672,0.01,95360,1.699,0.046120502054691315,2.3413999999999997,198.51695999999998,0.0001,2.3413999999999997,12.533939715123443,23589,51.43491324083484
66,1454,600,1.6581726773582,0.01,96000,1.699,0.049915146082639694,2.3436999999999997,199.78812,0.0001,2.3436999999999997,12.621447754627678,23749,51.58092941185626
66,1446,604,1.5607511705247257,0.01,96640,1.699,0.025677494704723358,,,0.0001,,,23909,
67,1433,608,1.6423363399267026,0.01,97280,1.699,0.02979007177054882,2.3022,192.258,0.0001,2.3022,12.787930809621693,24069,52.24758878387929
68,1426,612,1.6164919738994126,0.01,97920,1.699,0.23691698908805847,,,0.0001,,,24229,
69,1421,616,1.747808184048855,0.01,98560,1.699,0.2683766782283783,2.3157999999999994,194.2416,0.0001,2.3157999999999994,12.670854781848059,24389,51.8615406934761
70,1415,620,1.5281608993310847,0.01,99200,1.699,0.021978525444865227,2.3114999999999997,194.29451999999998,0.0001,2.3114999999999997,12.815085051983765,24549,52.138342326057156
70,1410,624,1.4882827221963517,0.01,99840,1.699,0.04296498745679855,,,0.0001,,,24709,
