timestep,aqi,fan_speed
7490,2.0,0.0
7500,2.0,0.0
7510,2.0,0.2
7520,2.0,0.0
7530,2.0,0.0
7540,1.0,0.1
7550,1.0,0.0
7560,1.0,0.1
7570,1.0,0.1
7580,2.0,0.2
7590,2.0,0.0
7600,2.0,0.0
7610,2.0,0.0
7620,1.0,0.1
7630,2.0,0.0
7640,2.0,0.0
7650,2.0,0.3
7660,1.0,0.2
7670,1.0,0.1
7680,1.0,0.1
7690,1.0,0.2
7700,1.0,2.7755576e-17
7710,1.0,0.0
7720,1.0,0.2
7730,1.0,0.4
7740,1.0,0.7
7750,2.0,0.6
7760,2.0,0.4
7770,2.0,0.2
7780,2.0,0.1
7790,2.0,2.7755576e-17
7800,2.0,2.7755576e-17
7810,2.0,0.0
7820,2.0,0.1
7830,2.0,0.0
7840,1.0,0.0
7850,2.0,0.0
7860,2.0,0.0
7870,1.0,0.0
7880,2.0,0.1
7890,2.0,0.1
7900,2.0,0.1
7910,2.0,0.1
7920,2.0,0.0
7930,2.0,0.0
7940,2.0,0.0
7950,2.0,0.1
7960,2.0,0.0
7970,2.0,0.3
7980,2.0,0.2
7990,2.0,0.0
8000,2.0,0.0
8010,2.0,0.1
8020,2.0,0.0
8030,2.0,0.0
8040,2.0,0.0
8050,2.0,0.0
8060,2.0,0.1
8070,2.0,0.0
8080,2.0,0.0
8090,2.0,0.0
8100,2.0,0.3
8110,2.0,0.3
8120,2.0,0.0
8130,2.0,0.0
8140,2.0,0.0
8150,2.0,0.1
8160,2.0,0.4
8170,2.0,0.1
8180,2.0,0.0
8190,2.0,0.2
8200,2.0,0.1
8210,2.0,0.1
8220,2.0,0.1
8230,2.0,0.0
8240,2.0,0.2
8250,2.0,0.5
8260,2.0,0.3
8270,2.0,0.1
8280,2.0,0.0
8290,2.0,0.1
8300,2.0,0.0
8310,2.0,0.0
8320,2.0,0.0
8330,2.0,0.0
8340,2.0,0.1
8350,2.0,0.0
8360,2.0,0.0
8370,2.0,0.0
8380,2.0,0.1
8390,2.0,0.3
8400,2.0,0.4
8410,2.0,0.3
8420,2.0,0.4
8430,2.0,0.4
8440,2.0,0.2
8450,2.0,2.7755576e-17
8460,2.0,0.0
8470,2.0,0.0
8480,2.0,0.1
8490,2.0,0.1
8500,2.0,0.0
8510,2.0,0.0
8520,2.0,0.0
8530,2.0,0.0
8540,2.0,0.2
8550,2.0,0.0
8560,2.0,0.1
8570,2.0,0.0
8580,2.0,0.1
8590,2.0,0.1
8600,2.0,0.2
8610,2.0,0.0
8620,2.0,0.0
8630,2.0,0.0
8640,2.0,0.0
8650,2.0,0.3
8660,2.0,0.0
8670,2.0,0.1
8680,2.0,0.0
8690,2.0,0.1
8700,2.0,0.0
8710,2.0,0.0
8720,2.0,0.0
8730,2.0,0.0
8740,2.0,0.0
8750,2.0,0.2
8760,2.0,0.0
8770,2.0,0.0
8780,2.0,0.0
8790,2.0,0.0
8800,2.0,0.0
8810,2.0,0.3
8820,2.0,0.5
8830,2.0,0.3
8840,2.0,0.3
8850,2.0,0.3
8860,2.0,0.2
8870,2.0,0.1
8880,2.0,2.7755576e-17
8890,2.0,0.0
8900,2.0,0.0
8910,2.0,0.0
8920,2.0,0.0
8930,2.0,0.0
8940,2.0,0.1
8950,1.0,0.0
8960,2.0,0.0
8970,2.0,0.0
8980,1.0,0.0
8990,1.0,0.2
9000,2.0,0.3
9010,2.0,0.1
9020,1.0,0.0
9030,1.0,0.2
9040,1.0,0.0
9050,1.0,0.1
9060,1.0,0.0
9070,1.0,0.1
9080,1.0,0.0
9090,1.0,0.1
9100,1.0,0.1
9110,1.0,0.2
9120,1.0,0.0
9130,1.0,0.1
9140,1.0,0.0
9150,1.0,0.1
9160,2.0,0.0
9170,1.0,0.2
9180,1.0,0.5
9190,1.0,0.4
9200,1.0,0.4
9210,1.0,0.4
9220,1.0,0.5
9230,1.0,0.6
9240,1.0,0.3
9250,1.0,2.7755576e-17
9260,1.0,0.1
9270,1.0,0.2
9280,1.0,2.7755576e-17
9290,1.0,0.3
9300,1.0,2.7755576e-17
9310,1.0,0.1
9320,1.0,0.0
9330,1.0,0.1
9340,1.0,0.1
9350,1.0,0.0
9360,1.0,0.0
9370,1.0,0.2
9380,1.0,0.3
9390,1.0,0.3
9400,1.0,0.4
9410,1.0,0.6
9420,1.0,0.6
9430,1.0,0.5
9440,1.0,0.3
9450,1.0,0.1
9460,1.0,2.7755576e-17
9470,1.0,0.0
9480,1.0,0.3
9490,1.0,0.4
9500,1.0,0.2
9510,1.0,2.7755576e-17
9520,1.0,0.2
9530,1.0,0.2
9540,1.0,0.3
9550,1.0,0.3
9560,1.0,2.7755576e-17
9570,1.0,0.0
9580,1.0,0.0
9590,1.0,0.0
9600,1.0,0.0
9610,1.0,0.0
9620,1.0,0.1
9630,1.0,0.0
9640,1.0,0.1
9650,1.0,0.1
9660,1.0,0.0
9670,1.0,0.2
9680,1.0,0.0
9690,1.0,0.2
9700,1.0,0.1
9710,1.0,2.7755576e-17
9720,1.0,0.1
9730,1.0,0.4
9740,1.0,0.2
9750,1.0,0.0
9760,1.0,0.0
9770,1.0,0.0
9780,1.0,0.0
9790,1.0,0.0
9800,1.0,0.1
9810,1.0,0.3
9820,1.0,0.3
9830,1.0,0.3
9840,1.0,0.3
9850,1.0,0.3
9860,1.0,2.7755576e-17
9870,1.0,0.2
9880,1.0,0.5
9890,1.0,0.2
9900,1.0,0.2
9910,1.0,0.0
9920,1.0,0.0
9930,1.0,0.0
9940,1.0,0.0
9950,1.0,0.0
9960,1.0,0.0
9970,1.0,0.0
9980,1.0,0.2
9990,1.0,0.2
10000,1.0,0.0
10010,1.0,0.0
10020,1.0,0.1
10030,1.0,0.0
10040,1.0,0.0
10050,1.0,0.0
10060,1.0,0.3
10070,1.0,0.4
10080,1.0,0.2
10090,1.0,0.2
10100,1.0,0.1
10110,1.0,0.1
10120,1.0,0.2
10130,1.0,2.7755576e-17
10140,1.0,0.0
10150,1.0,0.1
10160,1.0,0.4
10170,1.0,0.2
10180,1.0,0.1
10190,1.0,2.7755576e-17
10200,1.0,0.0
10210,1.0,0.1
10220,1.0,0.0
10230,1.0,0.1
10240,1.0,0.0
10250,1.0,0.1
10260,1.0,0.0
10270,1.0,0.1
10280,1.0,0.2
10290,1.0,0.0
10300,1.0,0.1
10310,1.0,0.0
10320,1.0,0.0
10330,1.0,0.1
10340,1.0,0.0
10350,1.0,0.1
10360,1.0,0.0
